order_code,status,created_at,order_price,quantity_sold,seller_id,product_status,sku,special_price_before,special_price_after,price_before,price_after,current_price_before,current_price_after,specialFrom,specialTo
402252614,"('giao_hang_thanh_cong',)",2021-01-28 14:19:07,"('299000',)",1,,,,,,,,,,,
487750717,"('giao_hang_thanh_cong',)",2021-01-27 23:05:04,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
712104644,"('giao_hang_thanh_cong',)",2021-01-27 19:20:59,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
387309872,"('canceled',)",2021-01-27 17:54:40,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
650391404,"('giao_hang_thanh_cong',)",2021-01-27 14:41:40,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
302120060,"('giao_hang_thanh_cong',)",2021-01-27 10:58:33,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
442698286,"('giao_hang_thanh_cong',)",2021-01-27 08:13:44,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
601965745,"('canceled',)",2021-01-27 08:13:44,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
806019619,"('giao_hang_thanh_cong',)",2021-01-27 06:39:13,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
562168599,"('canceled',)",2021-01-27 06:39:13,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
962843803,"('giao_hang_thanh_cong',)",2021-01-27 04:54:22,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
541584509,"('canceled',)",2021-01-27 03:30:19,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
576912325,"('giao_hang_thanh_cong',)",2021-01-27 01:51:41,"('269000',)",1,44481,1,1068031078282,299000,269000,299000,299000,329000,329000,2021-01-27 00:00:00,2021-01-27 23:59:59
774042487,"('giao_hang_thanh_cong',)",2021-01-26 22:25:13,"('329000',)",1,,,,,,,,,,,
453836749,"('canceled',)",2021-01-26 22:23:04,"('329000',)",1,,,,,,,,,,,
640587153,"('giao_hang_thanh_cong',)",2021-01-28 12:45:48,"('305000',)",1,,,,,,,,,,,
397415569,"('len_ke',)",2021-01-27 15:54:44,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
990797124,"('complete',)",2021-01-27 13:56:24,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
556775759,"('giao_hang_thanh_cong',)",2021-01-27 08:41:11,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
789277634,"('giao_hang_thanh_cong',)",2021-01-27 07:26:10,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
341612907,"('giao_hang_thanh_cong',)",2021-01-27 07:24:58,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
382308273,"('canceled',)",2021-01-27 03:04:26,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
709332508,"('canceled',)",2021-01-27 02:32:08,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
859917730,"('giao_hang_thanh_cong',)",2021-01-27 01:08:25,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
874843185,"('canceled',)",2021-01-27 00:59:48,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
791347255,"('giao_hang_thanh_cong',)",2021-01-27 00:47:27,"('269000',)",1,44481,1,8664355558702,305000,269000,305000,305000,325000,325000,2021-01-27 00:00:00,2021-01-27 23:59:59
861787075,"('giao_hang_thanh_cong',)",2021-01-27 10:22:33,"('342400',)",1,46647,1,4586890457736,342400,342400,428000,428000,428000,428000,2021-01-27 10:00:00,2021-01-31 11:59:59
292666019,"('canceled',)",2021-01-26 23:46:46,"('342400',)",1,,,,,,,,,,,
273246648,"('canceled',)",2021-01-26 23:46:46,"('342400',)",1,,,,,,,,,,,
621290787,"('giao_hang_thanh_cong',)",2021-01-27 15:43:45,"('2352000',)",1,5079,1,9138980864396,2363000,1995000,2352000,2352000,2450000,2450000,2021-01-27 00:00:00,2021-01-27 23:59:59
591118820,"('giao_hang_thanh_cong',)",2021-01-27 12:49:43,"('1995000',)",1,5079,1,3314709605990,2378000,1995000,2205000,2205000,2388000,2388000,2021-01-27 00:00:00,2021-01-27 23:59:59
213777613,"('giao_hang_thanh_cong',)",2021-01-27 11:56:35,"('1995000',)",1,5079,1,3314709605990,2378000,1995000,2205000,2205000,2388000,2388000,2021-01-27 00:00:00,2021-01-27 23:59:59
997894472,"('giao_hang_thanh_cong',)",2021-01-28 06:15:29,"('420000',)",1,,,,,,,,,,,
510088150,"('giao_hang_thanh_cong',)",2021-01-27 22:52:25,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
778776789,"('giao_hang_thanh_cong',)",2021-01-27 22:04:30,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
754726728,"('giao_hang_thanh_cong',)",2021-01-27 21:59:22,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
202378594,"('giao_hang_thanh_cong',)",2021-01-27 21:53:25,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
922899183,"('ban_giao_doi_tac',)",2021-01-27 20:30:30,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
774734779,"('giao_hang_thanh_cong',)",2021-01-27 14:35:33,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
585021826,"('giao_hang_thanh_cong',)",2021-01-27 13:54:38,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
483755925,"('giao_hang_thanh_cong',)",2021-01-27 09:01:28,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
891857827,"('canceled',)",2021-01-27 09:01:28,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
979559680,"('giao_hang_thanh_cong',)",2021-01-27 06:53:17,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
983482347,"('giao_hang_thanh_cong',)",2021-01-27 01:36:36,"('329000',)",1,48574,1,3735144964228,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
777477877,"('giao_hang_thanh_cong',)",2021-01-26 19:08:56,"('365000',)",1,,,,,,,,,,,
466901406,"('giao_hang_thanh_cong',)",2021-01-26 18:49:12,"('365000',)",1,,,,,,,,,,,
878483434,"('canceled',)",2021-01-26 17:44:23,"('365000',)",1,,,,,,,,,,,
593306266,"('giao_hang_thanh_cong',)",2021-01-27 22:56:21,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
294043481,"('canceled',)",2021-01-27 22:56:21,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
952617442,"('canceled',)",2021-01-27 22:51:16,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
601961227,"('giao_hang_thanh_cong',)",2021-01-27 22:50:27,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
905025947,"('giao_hang_thanh_cong',)",2021-01-27 22:37:09,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
625284288,"('giao_hang_thanh_cong',)",2021-01-27 22:32:42,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
341325611,"('giao_hang_thanh_cong',)",2021-01-27 22:31:45,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
683339737,"('canceled',)",2021-01-27 22:28:19,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
558320788,"('canceled',)",2021-01-27 22:21:41,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
753928403,"('canceled',)",2021-01-27 22:19:46,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
399104116,"('canceled',)",2021-01-27 22:19:46,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
527363772,"('giao_hang_thanh_cong',)",2021-01-27 22:11:59,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
964334337,"('giao_hang_thanh_cong',)",2021-01-27 22:10:11,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
443163159,"('canceled',)",2021-01-27 22:09:14,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
239130794,"('giao_hang_thanh_cong',)",2021-01-27 22:08:13,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
828714840,"('giao_hang_thanh_cong',)",2021-01-27 22:08:08,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
211314020,"('giao_hang_thanh_cong',)",2021-01-27 22:04:49,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
602499570,"('giao_hang_thanh_cong',)",2021-01-27 22:02:30,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
741758883,"('canceled',)",2021-01-27 21:50:32,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
967480078,"('ban_giao_doi_tac',)",2021-01-27 21:48:14,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
561351243,"('giao_hang_thanh_cong',)",2021-01-27 21:41:33,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
717822730,"('giao_hang_thanh_cong',)",2021-01-27 21:27:25,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
736216278,"('giao_hang_thanh_cong',)",2021-01-27 21:22:02,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
768290782,"('canceled',)",2021-01-27 20:41:58,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
824888147,"('canceled',)",2021-01-27 20:27:08,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
252541668,"('canceled',)",2021-01-27 20:21:00,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
252316334,"('canceled',)",2021-01-27 20:20:59,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
